Time [s],Channel 0
2024-04-16T11:48:47.709889000+00:00,0
2024-04-16T11:48:47.814884675+00:00,1
2024-04-16T11:48:47.814955525+00:00,0
2024-04-16T11:48:47.873287925+00:00,1
2024-04-16T11:48:47.873291300+00:00,0
2024-04-16T11:48:47.914544900+00:00,1
2024-04-16T11:48:47.914619625+00:00,0
2024-04-16T11:48:48.019443050+00:00,1
2024-04-16T11:48:48.019513950+00:00,0
2024-04-16T11:48:48.088171975+00:00,1
2024-04-16T11:48:48.088175350+00:00,0
2024-04-16T11:48:48.098730225+00:00,1
2024-04-16T11:48:48.098733600+00:00,0
2024-04-16T11:48:48.122859200+00:00,1
2024-04-16T11:48:48.122930075+00:00,0
2024-04-16T11:48:48.222346575+00:00,1
2024-04-16T11:48:48.222417325+00:00,0
2024-04-16T11:48:48.341959725+00:00,1
2024-04-16T11:48:48.342030650+00:00,0
2024-04-16T11:48:48.428018325+00:00,1
2024-04-16T11:48:48.428088950+00:00,0
2024-04-16T11:48:48.528552625+00:00,1
2024-04-16T11:48:48.528623550+00:00,0
2024-04-16T11:48:48.641812000+00:00,1
2024-04-16T11:48:48.641882775+00:00,0
2024-04-16T11:48:48.713911650+00:00,1
2024-04-16T11:48:48.713915025+00:00,0
2024-04-16T11:48:48.741296800+00:00,1
2024-04-16T11:48:48.741367475+00:00,0
2024-04-16T11:48:48.837123400+00:00,1
2024-04-16T11:48:48.837194100+00:00,0
2024-04-16T11:48:48.939409675+00:00,1
2024-04-16T11:48:48.939480400+00:00,0
2024-04-16T11:48:49.041156375+00:00,1
2024-04-16T11:48:49.041227175+00:00,0
2024-04-16T11:48:49.144472125+00:00,1
2024-04-16T11:48:49.144543200+00:00,0
2024-04-16T11:48:49.247307375+00:00,1
2024-04-16T11:48:49.247378025+00:00,0
2024-04-16T11:48:49.348422475+00:00,1
2024-04-16T11:48:49.348493325+00:00,0
2024-04-16T11:48:49.475330200+00:00,1
2024-04-16T11:48:49.475400925+00:00,0
2024-04-16T11:48:49.478456275+00:00,1
2024-04-16T11:48:49.478459650+00:00,0
2024-04-16T11:48:49.535564750+00:00,1
2024-04-16T11:48:49.535568125+00:00,0
2024-04-16T11:48:49.559856200+00:00,1
2024-04-16T11:48:49.559927200+00:00,0
2024-04-16T11:48:49.662587775+00:00,1
2024-04-16T11:48:49.662658475+00:00,0
2024-04-16T11:48:49.678387375+00:00,1
2024-04-16T11:48:49.678390750+00:00,0
2024-04-16T11:48:49.756893800+00:00,1
2024-04-16T11:48:49.756964600+00:00,0
2024-04-16T11:48:49.864481925+00:00,1
2024-04-16T11:48:49.864552700+00:00,0
2024-04-16T11:48:49.963322075+00:00,1
2024-04-16T11:48:49.963396850+00:00,0
2024-04-16T11:48:50.063996550+00:00,1
2024-04-16T11:48:50.064067425+00:00,0
2024-04-16T11:48:50.174724775+00:00,1
2024-04-16T11:48:50.174795725+00:00,0
2024-04-16T11:48:50.272368225+00:00,1
2024-04-16T11:48:50.272443525+00:00,0
